display_time	device_type	角度X(°)	角度Y(°)	角度Z(°)	加速度X(g)	加速度Y(g)	加速度Z(g)	accel_magnitude(g)	timestamp_unix_aligned	time_offset_seconds
05:23:26.583	WT2	55.63	20.82	-51.31	-0.369	0.767	0.531	1.0032003787878072	1772774606.5830002	-28800.0
05:23:26.624	WT1	-55.15	74.41	-121.12	-1.004	0.053	0.062	1.007307798043875	1772774606.624	-28800.0
05:23:26.632	WT3	7.77	9.86	-112.88	-0.174	0.113	0.994	1.0154215873222314	1772774606.633	-28800.0
05:23:26.641	WT2	55.44	20.84	-51.42	-0.353	0.772	0.542	1.0071529178828804	1772774606.641	-28800.0
05:23:26.702	WT4	-29.17	15.91	-84.67	-0.285	-0.473	0.853	1.01615107144558	1772774606.7020001	-28800.0
05:23:26.740	WT1	-54.14	74.53	-120.26	-1.007	0.06	0.048	1.009927225100898	1772774606.741	-28800.0
05:23:26.747	WT3	7.82	9.84	-112.92	-0.176	0.106	0.988	1.0091362643369823	1772774606.748	-28800.0
05:23:26.767	WT2	55.48	20.8	-51.45	-0.365	0.77	0.547	1.0125877739731999	1772774606.768	-28800.0
05:23:26.790	WT4	-29.15	15.9	-84.67	-0.287	-0.478	0.86	1.024916094126734	1772774606.7900002	-28800.0
05:23:26.809	WT3	7.86	9.86	-113.05	-0.167	0.123	0.975	0.9968164324488236	1772774606.81	-28800.0
05:23:26.832	WT1	-53.21	74.58	-119.73	-0.984	0.041	0.057	0.9865019006570641	1772774606.833	-28800.0
05:23:26.878	WT2	55.43	20.84	-51.65	-0.354	0.771	0.537	1.0040547793820813	1772774606.878	-28800.0
05:23:26.916	WT4	-29.19	15.91	-84.75	-0.277	-0.485	0.85	1.0170811177089072	1772774606.9169998	-28800.0
05:23:26.971	WT1	-53.42	74.55	-120.02	-0.968	0.039	0.046	0.9698767962994063	1772774606.972	-28800.0
05:23:26.973	WT3	7.72	9.84	-113.18	-0.182	0.122	0.976	1.0002919573804439	1772774606.973	-28800.0
05:23:26.973	WT4	-29.26	15.86	-84.74	-0.277	-0.476	0.854	1.0161796101083707	1772774606.973	-28800.0
05:23:26.974	WT2	55.17	20.84	-51.84	-0.355	0.764	0.531	0.9958323152017111	1772774606.9740002	-28800.0
05:23:27.119	WT1	-55.35	74.72	-122.26	-0.998	0.037	0.074	1.0014234868426044	1772774607.12	-28800.0
05:23:27.131	WT1	-50.44	74.84	-117.72	-1.018	0.043	0.065	1.0209789419963566	1772774607.132	-28800.0
05:23:27.140	WT3	6.65	9.74	-113.48	-0.172	0.102	0.982	1.0021536808294425	1772774607.14	-28800.0
05:23:27.179	WT4	-29.36	15.36	-84.41	-0.277	-0.476	0.842	1.0061157985043272	1772774607.1790001	-28800.0
05:23:27.180	WT2	53.59	20.81	-52.39	-0.383	0.756	0.539	1.004363480021053	1772774607.181	-28800.0
05:23:27.190	WT3	7.27	9.85	-113.33	-0.183	0.107	0.984	1.0065753821746288	1772774607.19	-28800.0
05:23:27.220	WT1	-37.66	75.14	-105.89	-1.017	0.087	0.054	1.022141868822523	1772774607.22	-28800.0
05:23:27.230	WT3	5.96	9.4	-113.62	-0.163	0.07	1.012	1.0274302896060636	1772774607.23	-28800.0
05:23:27.243	WT2	52.34	20.71	-52.65	-0.369	0.755	0.607	1.0366460340926404	1772774607.243	-28800.0
05:23:27.302	WT4	-29.44	15.15	-84.31	-0.26	-0.489	0.849	1.0136675983772983	1772774607.303	-28800.0
05:23:27.340	WT1	-36.26	74.45	-105.19	-0.98	0.064	0.036	0.9827471699272402	1772774607.3409998	-28800.0
05:23:27.347	WT3	5.78	9.41	-113.54	-0.157	0.079	1.005	1.0202524197471916	1772774607.3470001	-28800.0
05:23:27.371	WT2	51.9	20.8	-52.68	-0.364	0.737	0.602	1.0188567122024568	1772774607.372	-28800.0
05:23:27.391	WT4	-29.4	15.1	-84.25	-0.258	-0.497	0.86	1.0262421741479932	1772774607.391	-28800.0
05:23:27.435	WT1	-34.22	74.13	-103.42	-0.988	0.072	0.038	0.9913485764351507	1772774607.4350002	-28800.0
05:23:27.444	WT3	5.84	9.43	-113.46	-0.16	0.08	0.991	1.007015888653203	1772774607.444	-28800.0
05:23:27.476	WT2	51.7	20.87	-52.65	-0.366	0.722	0.597	1.0058076356838817	1772774607.477	-28800.0
05:23:27.513	WT4	-29.36	15.1	-84.22	-0.254	-0.475	0.852	1.007990575352766	1772774607.514	-28800.0
05:23:27.549	WT1	-32.3	73.66	-101.45	-0.974	0.078	0.036	0.9777811616103063	1772774607.549	-28800.0
05:23:27.580	WT4	-29.34	15.14	-84.18	-0.262	-0.487	0.854	1.0174128955345514	1772774607.5809999	-28800.0
05:23:27.580	WT3	5.88	9.41	-113.41	-0.166	0.089	0.981	0.998918415087038	1772774607.5809999	-28800.0
05:23:27.583	WT2	51.65	20.97	-52.64	-0.376	0.711	0.579	0.9910287584121865	1772774607.5830002	-28800.0
05:23:27.611	WT1	-31.26	73.05	-100.42	-0.995	0.092	0.07	1.001693066762469	1772774607.611	-28800.0
05:23:27.619	WT3	5.85	9.5	-113.32	-0.164	0.082	0.979	0.9960225901052646	1772774607.62	-28800.0
05:23:27.684	WT2	51.41	21.04	-52.48	-0.376	0.712	0.577	0.9905801330533538	1772774607.685	-28800.0
05:23:27.723	WT4	-29.32	15.1	-84.04	-0.269	-0.485	0.858	1.0216408370851275	1772774607.724	-28800.0
05:23:27.742	WT3	5.69	9.48	-113.18	-0.164	0.085	0.983	1.0002049789918064	1772774607.742	-28800.0
05:23:27.775	WT1	-28.67	72.2	-97.56	-0.993	0.095	0.052	0.998888382152881	1772774607.775	-28800.0
05:23:27.779	WT4	-29.31	15.09	-83.96	-0.269	-0.48	0.851	1.0133913360592737	1772774607.779	-28800.0
05:23:27.812	WT2	50.93	21.0	-52.4	-0.366	0.706	0.593	0.991988407190326	1772774607.813	-28800.0
05:23:27.822	WT1	-26.71	71.9	-95.37	-0.998	0.115	0.05	1.0058474039336185	1772774607.822	-28800.0
05:23:27.828	WT3	5.57	9.37	-112.98	-0.156	0.078	0.991	1.0062310867787776	1772774607.829	-28800.0
05:23:27.841	WT2	50.69	20.91	-52.19	-0.364	0.711	0.604	1.0014154981824477	1772774607.8419998	-28800.0
05:23:27.900	WT4	-29.3	15.0	-83.78	-0.265	-0.484	0.867	1.0277013184773092	1772774607.9	-28800.0
05:23:27.929	WT4	-29.33	15.66	-84.63	-0.278	-0.477	0.848	1.0118878396344133	1772774607.9299998	-28800.0
05:23:27.929	WT2	54.53	20.86	-52.11	-0.359	0.755	0.543	0.9968726097150027	1772774607.9299998	-28800.0
05:23:27.944	WT1	-26.09	71.81	-94.54	-0.988	0.113	0.045	0.9954586882437664	1772774607.945	-28800.0
05:23:27.950	WT3	5.54	9.32	-112.82	-0.17	0.077	0.99	1.0074368466559083	1772774607.95	-28800.0
05:23:27.991	WT4	-29.28	15.02	-83.73	-0.267	-0.48	0.86	1.0204356912613357	1772774607.9910002	-28800.0
05:23:27.993	WT2	50.58	20.86	-52.04	-0.378	0.715	0.606	1.010616148693459	1772774607.993	-28800.0
05:23:28.110	WT4	-29.31	15.05	-83.68	-0.267	-0.479	0.857	1.017437467365931	1772774608.1100001	-28800.0
05:23:28.148	WT1	-26.08	71.78	-94.14	-0.983	0.124	0.049	0.9920010080640039	1772774608.148	-28800.0
05:23:28.172	WT3	5.54	9.25	-112.44	-0.159	0.068	0.987	1.0020349295309021	1772774608.1729999	-28800.0
05:23:28.174	WT2	50.48	20.81	-51.58	-0.356	0.704	0.607	0.9953898733662101	1772774608.174	-28800.0
05:23:28.200	WT4	-29.34	15.03	-83.62	-0.262	-0.484	0.858	1.0193448876606974	1772774608.2	-28800.0
05:23:28.220	WT3	5.61	9.11	-111.97	-0.159	0.072	0.989	1.0042838244241514	1772774608.22	-28800.0
05:23:28.243	WT1	-25.39	71.82	-93.02	-0.981	0.122	0.046	0.9896266972955005	1772774608.243	-28800.0
05:23:28.294	WT2	50.42	20.65	-51.05	-0.363	0.711	0.621	1.0114005141386868	1772774608.2940001	-28800.0
05:23:28.321	WT4	-29.34	14.96	-83.4	-0.264	-0.486	0.853	1.0166125122188887	1772774608.3219998	-28800.0
05:23:28.339	WT1	-25.98	71.8	-94.23	-0.986	0.123	0.06	0.9954521585691599	1772774608.34	-28800.0
05:23:28.381	WT1	-25.53	71.69	-92.63	-0.984	0.12	0.05	0.9925502506170657	1772774608.381	-28800.0
05:23:28.382	WT4	-29.39	14.99	-83.31	-0.266	-0.487	0.856	1.0201279331534845	1772774608.3820002	-28800.0
05:23:28.382	WT3	5.81	9.07	-111.48	-0.168	0.08	0.983	1.0004563958514134	1772774608.3820002	-28800.0
05:23:28.383	WT2	50.39	20.68	-50.51	-0.377	0.704	0.61	1.004910443770986	1772774608.3830001	-28800.0
05:23:28.420	WT1	-25.61	71.19	-92.23	-0.995	0.126	0.087	1.0067124713640931	1772774608.42	-28800.0
05:23:28.420	WT3	5.54	9.32	-112.7	-0.175	0.072	0.985	1.0030124625347385	1772774608.42	-28800.0
05:23:28.430	WT3	5.94	9.07	-110.81	-0.156	0.08	0.985	1.0004803846153107	1772774608.43	-28800.0
05:23:28.503	WT4	-29.42	14.88	-83.06	-0.26	-0.495	0.857	1.0232663387407992	1772774608.503	-28800.0
05:23:28.504	WT2	50.14	20.67	-49.75	-0.355	0.71	0.616	1.004779080196239	1772774608.5049999	-28800.0
05:23:28.510	WT2	50.53	20.87	-51.89	-0.378	0.711	0.603	1.0059890655469372	1772774608.5100002	-28800.0
05:23:28.545	WT1	-24.25	70.85	-90.05	-0.961	0.139	0.062	0.9729779031406622	1772774608.5459998	-28800.0
05:23:28.551	WT3	6.12	8.88	-110.01	-0.155	0.074	0.991	1.0057743285648129	1772774608.551	-28800.0
05:23:28.592	WT4	-29.45	14.78	-82.89	-0.273	-0.479	0.864	1.0249224360896778	1772774608.593	-28800.0
05:23:28.595	WT2	49.93	20.51	-48.89	-0.354	0.712	0.616	1.0058409417000282	1772774608.595	-28800.0
05:23:28.632	WT1	-24.26	70.65	-89.03	-1.002	0.126	0.092	1.0140729756777862	1772774608.633	-28800.0
05:23:28.641	WT3	6.31	8.79	-109.15	-0.15	0.093	0.978	0.993797263027022	1772774608.641	-28800.0
05:23:28.671	WT2	49.66	20.48	-48.02	-0.385	0.711	0.595	1.0038779806331046	1772774608.672	-28800.0
05:23:28.715	WT4	-29.53	14.55	-82.63	-0.271	-0.488	0.854	1.0202455586769295	1772774608.7150002	-28800.0
05:23:28.751	WT1	-22.58	70.36	-86.4	-1.005	0.154	0.078	1.0197180982997212	1772774608.7510002	-28800.0
05:23:28.783	WT2	49.1	20.68	-47.25	-0.346	0.707	0.626	1.005704230875062	1772774608.784	-28800.0
05:23:28.783	WT3	6.1	8.7	-108.36	-0.146	0.076	1.008	1.0213500868947925	1772774608.784	-28800.0
05:23:28.799	WT4	-29.62	14.38	-82.47	-0.249	-0.498	0.86	1.024502318201379	1772774608.8	-28800.0
05:23:28.843	WT1	-23.72	69.91	-86.4	-0.965	0.145	0.05	0.977113094784836	1772774608.8430002	-28800.0
05:23:28.851	WT3	6.03	8.82	-107.4	-0.159	0.081	1.005	1.0207188643304286	1772774608.851	-28800.0
05:23:28.883	WT2	48.66	20.75	-46.42	-0.364	0.699	0.65	1.02156595479685	1772774608.8830001	-28800.0
05:23:28.923	WT4	-29.64	14.1	-82.07	-0.258	-0.493	0.86	1.024310987932864	1772774608.923	-28800.0
05:23:28.974	WT1	-26.3	69.5	-87.79	-1.011	0.156	0.083	1.0263264587839485	1772774608.9740002	-28800.0
05:23:28.975	WT3	6.09	9.1	-106.41	-0.129	0.075	0.982	0.9932723694938866	1772774608.9750001	-28800.0
05:23:28.980	WT4	-29.61	13.88	-81.64	-0.228	-0.481	0.855	1.0071593716984417	1772774608.981	-28800.0
05:23:28.982	WT2	48.47	21.07	-45.36	-0.327	0.682	0.624	0.9805248594502844	1772774608.982	-28800.0
05:23:29.131	WT4	-29.59	13.75	-81.32	-0.243	-0.484	0.858	1.0146275178606186	1772774609.132	-28800.0
05:23:29.167	WT3	6.3	9.21	-104.62	-0.153	0.095	0.972	0.9885433728471401	1772774609.167	-28800.0
05:23:29.169	WT1	-30.45	68.71	-89.42	-0.981	0.145	0.041	0.9925054156023533	1772774609.1699998	-28800.0
05:23:29.190	WT4	-29.56	13.78	-81.16	-0.244	-0.485	0.851	1.0094364764560473	1772774609.19	-28800.0
05:23:29.190	WT2	48.11	21.17	-43.53	-0.379	0.686	0.633	1.0074353577277304	1772774609.191	-28800.0
05:23:29.230	WT1	-26.92	69.33	-86.91	-0.981	0.156	0.038	0.9940528154982511	1772774609.23	-28800.0
05:23:29.230	WT1	-30.87	68.77	-89.15	-0.999	0.158	0.089	1.0153255635509233	1772774609.231	-28800.0
05:23:29.240	WT3	6.39	9.27	-104.06	-0.156	0.088	0.982	0.9982003806851608	1772774609.241	-28800.0
05:23:29.283	WT2	48.07	21.31	-42.9	-0.375	0.686	0.632	1.005308410389568	1772774609.284	-28800.0
05:23:29.310	WT4	-29.54	13.8	-81.05	-0.252	-0.49	0.857	1.0188488602339407	1772774609.3100002	-28800.0
05:23:29.319	WT3	6.09	8.89	-105.41	-0.163	0.083	1.0	1.0165913633314028	1772774609.32	-28800.0
05:23:29.372	WT1	-32.37	68.19	-90.32	-0.95	0.151	0.142	0.9723502455391266	1772774609.373	-28800.0
05:23:29.374	WT3	6.64	9.37	-103.59	-0.146	0.098	0.988	1.0035257844221044	1772774609.374	-28800.0
05:23:29.375	WT2	48.09	21.47	-42.25	-0.358	0.681	0.643	1.0026833996830704	1772774609.375	-28800.0
05:23:29.398	WT4	-29.49	13.93	-80.96	-0.252	-0.493	0.863	1.0253399436284534	1772774609.3980002	-28800.0
05:23:29.444	WT1	-36.46	67.74	-93.78	-0.968	0.14	0.126	0.986154146165801	1772774609.445	-28800.0
05:23:29.476	WT3	6.89	9.6	-103.17	-0.162	0.103	0.982	1.0005883269357083	1772774609.477	-28800.0
05:23:29.476	WT2	48.21	21.5	-41.69	-0.368	0.692	0.632	1.0068326573964512	1772774609.477	-28800.0
05:23:29.519	WT4	-29.41	13.95	-80.92	-0.25	-0.49	0.865	1.0250975563330547	1772774609.52	-28800.0
05:23:29.572	WT1	-37.92	67.6	-94.67	-0.959	0.16	0.096	0.9769836231994884	1772774609.573	-28800.0
05:23:29.574	WT3	6.91	9.69	-103.11	-0.16	0.097	0.996	1.0134224193296693	1772774609.5740001	-28800.0
05:23:29.583	WT2	48.11	21.52	-41.67	-0.369	0.684	0.64	1.0067854786398143	1772774609.5830002	-28800.0
05:23:29.611	WT4	-29.39	14.04	-81.06	-0.246	-0.494	0.855	1.0176330379856975	1772774609.612	-28800.0
05:23:29.676	WT1	-37.94	67.37	-94.63	-0.964	0.163	0.115	0.9844236892720531	1772774609.676	-28800.0
05:23:29.676	WT3	6.87	9.76	-103.24	-0.154	0.094	0.991	1.0072899284714405	1772774609.676	-28800.0
05:23:29.677	WT2	47.99	21.48	-41.84	-0.367	0.681	0.653	1.0123531992343384	1772774609.677	-28800.0
05:23:29.729	WT2	48.09	20.84	-44.36	-0.353	0.69	0.656	1.0154038605402287	1772774609.7299998	-28800.0
05:23:29.732	WT4	-29.3	14.07	-81.15	-0.246	-0.483	0.86	1.016565295492621	1772774609.732	-28800.0
05:23:29.779	WT1	-37.71	67.26	-94.56	-0.97	0.17	0.095	0.9893558510465281	1772774609.779	-28800.0
05:23:29.779	WT3	6.92	9.83	-103.56	-0.185	0.085	0.988	1.0087586430856492	1772774609.78	-28800.0
05:23:29.791	WT2	48.02	21.61	-42.28	-0.387	0.666	0.633	0.9970025075194145	1772774609.7910001	-28800.0
05:23:29.820	WT4	-29.24	14.38	-81.71	-0.264	-0.485	0.863	1.0245438009182428	1772774609.8209999	-28800.0
05:23:29.832	WT1	-37.69	66.92	-94.96	-0.962	0.168	0.153	0.9884720532215364	1772774609.832	-28800.0
05:23:29.841	WT3	6.88	10.07	-104.07	-0.169	0.103	0.98	0.9997849768825294	1772774609.8419998	-28800.0
05:23:29.883	WT2	47.95	21.68	-42.84	-0.352	0.688	0.624	0.9932894844908003	1772774609.8830001	-28800.0
05:23:29.915	WT4	-29.1	14.64	-82.25	-0.262	-0.478	0.857	1.0156657914885192	1772774609.916	-28800.0
05:23:29.970	WT1	-35.99	66.96	-93.5	-0.955	0.164	0.122	0.9766294077079596	1772774609.971	-28800.0
05:23:29.970	WT3	6.71	9.81	-104.51	-0.159	0.102	0.99	1.0078615976412635	1772774609.971	-28800.0
05:23:30.000	WT4	-28.88	14.65	-82.67	-0.26	-0.502	0.887	1.0518426688435871	1772774610.0	-28800.0
05:23:30.118	WT4	-28.55	14.63	-83.19	-0.231	-0.452	0.855	0.994328919422542	1772774610.118	-28800.0
05:23:30.177	WT1	-27.56	67.51	-86.19	-0.996	0.164	0.077	1.012344309017441	1772774610.177	-28800.0
05:23:30.177	WT3	5.93	8.57	-105.58	-0.125	0.085	0.971	0.9826957820200511	1772774610.178	-28800.0
05:23:30.183	WT2	46.5	20.01	-44.86	-0.325	0.641	0.652	0.9703659103657754	1772774610.183	-28800.0
05:23:30.200	WT2	47.61	21.26	-43.36	-0.346	0.688	0.658	1.0129284278763233	1772774610.2	-28800.0
05:23:30.211	WT4	-28.43	14.14	-83.41	-0.241	-0.467	0.872	1.01811296033397	1772774610.212	-28800.0
05:23:30.276	WT3	5.38	7.72	-106.21	-0.115	0.06	1.013	1.021270777022431	1772774610.277	-28800.0
05:23:30.276	WT1	-21.65	67.76	-80.85	-0.968	0.196	0.056	0.9892300035886498	1772774610.277	-28800.0
05:23:30.278	WT2	45.98	19.3	-45.58	-0.339	0.673	0.663	1.0037026452092273	1772774610.278	-28800.0
05:23:30.331	WT4	-28.32	13.8	-83.68	-0.209	-0.486	0.885	1.0310683779459051	1772774610.331	-28800.0
05:23:30.382	WT1	-18.02	67.88	-77.82	-0.989	0.191	0.08	1.0104464359875787	1772774610.3820002	-28800.0
05:23:30.383	WT3	4.84	7.19	-106.73	-0.113	0.051	0.997	1.004678555558941	1772774610.3830001	-28800.0
05:23:30.391	WT2	45.2	18.76	-46.21	-0.313	0.662	0.687	1.004082665919495	1772774610.392	-28800.0
05:23:30.391	WT4	-28.15	13.04	-84.02	-0.217	-0.445	0.851	0.9845379627012866	1772774610.392	-28800.0
05:23:30.430	WT1	-32.09	67.15	-90.04	-0.953	0.165	0.074	0.9700051546254793	1772774610.43	-28800.0
05:23:30.430	WT1	-14.05	67.81	-74.16	-0.979	0.183	0.017	0.9961019024176191	1772774610.43	-28800.0
05:23:30.441	WT3	4.26	6.57	-107.28	-0.114	0.056	1.008	1.0159704720118592	1772774610.442	-28800.0
05:23:30.483	WT2	44.63	18.19	-46.9	-0.337	0.663	0.691	1.0151940701166453	1772774610.483	-28800.0
05:23:30.540	WT4	-28.09	12.69	-84.53	-0.23	-0.479	0.867	1.0168726567274784	1772774610.541	-28800.0
05:23:30.575	WT3	4.09	6.22	-107.88	-0.102	0.063	1.0	1.0071608610346214	1772774610.576	-28800.0
05:23:30.578	WT1	-11.28	67.86	-71.89	-0.983	0.186	0.068	1.002750716778602	1772774610.579	-28800.0
