时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	位移X(mm)	位移Y(mm)	位移Z(mm)	速度X(mm/s)	速度Y(mm/s)	速度Z(mm/s)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2026-3-6 14:14:51.96	WT2(CA:F4:44:5B:2A:5C)	-0.340	0.770	0.564	-0.183	-0.061	0.122	54.72	19.00	-50.44	-14.200	-13.400	-31.580	null	null	null	null	null	null	0.76038	0.47125	-0.05640	-0.44324	27.5	10080.1.21	100
2026-3-6 14:14:51.148	WT4(FA:E0:7F:9A:F3:3E)	-0.285	-0.411	0.889	0.183	0.244	-0.061	-24.49	17.06	-86.40	-31.800	32.800	-48.740	null	null	null	null	null	null	0.72766	-0.04889	0.25046	-0.63663	28.3	10080.1.21	100
2026-3-6 14:14:51.172	WT3(F3:2A:15:68:55:37)	-0.062	0.150	0.988	0.122	0.916	-0.122	10.15	3.63	-88.84	-36.500	3.100	-36.300	null	null	null	null	null	null	0.70920	0.08511	-0.03925	-0.69867	27.9	10080.1.21	100
2026-3-6 14:14:51.191	WT1(D0:8E:86:5B:BD:44)	-0.998	0.097	-0.037	-1.282	-0.977	-0.793	19.96	72.95	-20.10	5.400	-10.373	-20.000	null	null	null	null	null	null	-0.32419	-0.66727	-0.27222	0.61276	25.2	10080.1.21	95
2026-3-6 14:14:51.213	WT4(FA:E0:7F:9A:F3:3E)	-0.288	-0.401	0.896	0.000	0.000	0.000	-24.49	17.08	-86.42	-31.800	32.800	-48.740	null	null	null	null	null	null	0.72586	-0.05334	0.24957	-0.63864	28.3	10080.1.21	100
2026-3-6 14:14:51.214	WT2(CA:F4:44:5B:2A:5C)	-0.319	0.767	0.553	-0.488	0.732	-0.244	54.70	19.06	-50.48	-14.200	-13.400	-31.580	null	null	null	null	null	null	0.76038	0.47125	-0.05640	-0.44324	27.5	10080.1.21	100
2026-3-6 14:14:51.270	WT1(D0:8E:86:5B:BD:44)	-0.983	0.099	-0.042	0.671	0.671	0.793	19.44	72.94	-20.63	5.400	-10.373	-20.000	null	null	null	null	null	null	-0.32419	-0.66727	-0.27222	0.61276	25.2	10080.1.21	95
2026-3-6 14:14:51.270	WT3(F3:2A:15:68:55:37)	-0.075	0.153	0.994	-0.122	-1.221	0.244	10.14	3.63	-88.82	-38.700	3.700	-36.160	null	null	null	null	null	null	0.70920	0.08511	-0.03925	-0.69867	27.9	10080.1.21	100
2026-3-6 14:14:51.305	WT2(CA:F4:44:5B:2A:5C)	-0.332	0.766	0.573	0.427	1.892	-1.709	54.62	19.03	-50.50	-14.200	-13.400	-31.580	null	null	null	null	null	null	0.76038	0.47058	-0.05438	-0.44421	27.5	10080.1.21	100
2026-3-6 14:14:51.336	WT4(FA:E0:7F:9A:F3:3E)	-0.288	-0.413	0.891	-0.366	1.282	0.000	-24.53	17.13	-86.41	-31.800	32.800	-48.740	null	null	null	null	null	null	0.72586	-0.05334	0.24957	-0.63864	28.3	10080.1.21	100
2026-3-6 14:14:51.369	WT1(D0:8E:86:5B:BD:44)	-0.986	0.080	-0.025	-0.305	-1.831	-0.610	18.37	72.99	-21.77	5.400	-10.373	-20.000	null	null	null	null	null	null	-0.32471	-0.66632	-0.26981	0.61456	25.2	10080.1.21	95
2026-3-6 14:14:51.380	WT3(F3:2A:15:68:55:37)	-0.075	0.160	0.983	-0.488	-1.892	0.244	10.18	3.77	-88.82	-38.700	3.700	-36.160	null	null	null	null	null	null	0.70920	0.08511	-0.03925	-0.69867	27.9	10080.1.21	100
2026-3-6 14:14:51.387	WT4(FA:E0:7F:9A:F3:3E)	-0.287	-0.417	0.885	0.000	-0.305	0.183	-24.55	17.20	-86.46	-32.700	32.000	-48.953	null	null	null	null	null	null	0.72586	-0.05334	0.24957	-0.63864	28.3	10080.1.21	100
2026-3-6 14:14:51.422	WT2(CA:F4:44:5B:2A:5C)	-0.329	0.759	0.569	-0.305	-0.732	0.427	54.61	19.13	-50.52	-14.200	-13.400	-31.580	null	null	null	null	null	null	0.76038	0.47058	-0.05438	-0.44421	27.5	10080.1.21	100
2026-3-6 14:14:51.467	WT1(D0:8E:86:5B:BD:44)	-0.996	0.093	-0.025	-2.686	-2.197	-1.038	17.74	72.98	-22.36	5.400	-10.373	-20.000	null	null	null	null	null	null	-0.32471	-0.66632	-0.26981	0.61456	25.2	10080.1.21	95
2026-3-6 14:14:51.469	WT3(F3:2A:15:68:55:37)	-0.060	0.152	0.986	-0.183	-0.122	0.671	10.20	3.81	-88.80	-38.700	3.700	-36.160	null	null	null	null	null	null	0.70920	0.08627	-0.03879	-0.69855	27.9	10080.1.21	100
2026-3-6 14:14:51.482	WT2(CA:F4:44:5B:2A:5C)	-0.343	0.765	0.561	0.000	0.061	1.160	54.60	19.17	-50.47	-12.700	-12.600	-30.207	null	null	null	null	null	null	0.76038	0.47058	-0.05438	-0.44421	27.5	10080.1.21	100
2026-3-6 14:14:51.539	WT4(FA:E0:7F:9A:F3:3E)	-0.284	-0.399	0.898	0.000	-1.709	1.221	-24.54	17.20	-86.35	-32.700	32.000	-48.953	null	null	null	null	null	null	0.72586	-0.05334	0.24957	-0.63864	28.3	10080.1.21	100
2026-3-6 14:14:51.581	WT1(D0:8E:86:5B:BD:44)	-1.013	0.112	-0.051	-2.441	-1.648	-0.366	17.90	72.91	-22.17	2.500	-8.940	-19.100	null	null	null	null	null	null	-0.32471	-0.66632	-0.26981	0.61456	25.2	10080.1.21	95
2026-3-6 14:14:51.591	WT3(F3:2A:15:68:55:37)	-0.069	0.151	0.993	0.305	1.404	-0.366	10.19	3.75	-88.80	-38.700	3.700	-36.160	null	null	null	null	null	null	0.70920	0.08627	-0.03879	-0.69855	27.9	10080.1.21	100
2026-3-6 14:14:51.600	WT4(FA:E0:7F:9A:F3:3E)	-0.297	-0.393	0.892	0.366	2.380	-0.427	-24.54	17.26	-86.31	-32.700	32.000	-48.953	null	null	null	null	null	null	0.72635	-0.05188	0.25104	-0.63766	28.3	10080.1.21	100
2026-3-6 14:14:51.631	WT2(CA:F4:44:5B:2A:5C)	-0.334	0.770	0.563	0.793	0.671	-0.061	54.61	19.22	-50.47	-12.700	-12.600	-30.207	null	null	null	null	null	null	0.76038	0.47058	-0.05438	-0.44421	27.5	10080.1.21	100
2026-3-6 14:14:51.643	WT1(D0:8E:86:5B:BD:44)	-0.988	0.091	-0.019	1.282	0.488	-2.686	18.25	72.98	-21.88	2.500	-8.940	-19.100	null	null	null	null	null	null	-0.32471	-0.66632	-0.26981	0.61456	25.2	10080.1.21	95
2026-3-6 14:14:51.682	WT3(F3:2A:15:68:55:37)	-0.069	0.156	0.994	1.526	1.404	0.610	10.15	3.79	-88.83	-37.700	4.300	-35.747	null	null	null	null	null	null	0.70920	0.08627	-0.03879	-0.69855	27.9	10080.1.21	100
2026-3-6 14:14:51.690	WT2(CA:F4:44:5B:2A:5C)	-0.344	0.761	0.564	2.014	-1.404	0.854	54.77	19.17	-50.49	-12.700	-12.600	-30.207	null	null	null	null	null	null	0.75934	0.47241	-0.05505	-0.44397	27.5	10080.1.21	100
