时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	位移X(mm)	位移Y(mm)	位移Z(mm)	速度X(mm/s)	速度Y(mm/s)	速度Z(mm/s)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2026-3-6 13:22:27.410	WT2(CA:F4:44:5B:2A:5C)	-0.432	0.783	0.461	1.465	0.122	-1.038	60.65	24.32	-44.07	-9.900	-15.700	-31.020	null	null	null	null	null	null	0.74310	0.52347	-0.01187	-0.41656	25.8	10080.1.21	100
2026-3-6 13:22:27.410	WT4(FA:E0:7F:9A:F3:3E)	-0.277	-0.469	0.869	0.122	0.366	-0.122	-27.98	15.02	-76.82	-33.000	34.600	-47.913	null	null	null	null	null	null	0.77341	-0.10901	0.24835	-0.57288	26.4	10080.1.21	100
2026-3-6 13:22:27.411	WT1(D0:8E:86:5B:BD:44)	-0.987	0.151	0.055	-1.709	-2.136	0.366	-16.45	69.32	-67.16	3.600	-12.173	-18.300	null	null	null	null	null	null	-0.29657	-0.66788	-0.17587	0.65952	24.2	10080.1.21	100
2026-3-6 13:22:27.413	WT3(F3:2A:15:68:55:37)	-0.252	0.143	0.957	-0.854	0.244	0.122	9.32	14.69	-105.63	-30.400	6.100	-39.800	null	null	null	null	null	null	0.58926	0.15009	0.01297	-0.79370	25.8	10080.1.21	100
2026-3-6 13:22:27.421	WT2(CA:F4:44:5B:2A:5C)	-0.420	0.783	0.456	-1.160	0.000	0.244	60.62	24.42	-44.08	-9.900	-15.700	-31.020	null	null	null	null	null	null	0.74310	0.52347	-0.01187	-0.41656	25.8	10080.1.21	100
2026-3-6 13:22:27.483	WT4(FA:E0:7F:9A:F3:3E)	-0.267	-0.469	0.858	-0.305	-0.793	0.061	-27.99	15.03	-76.82	-33.000	34.600	-47.913	null	null	null	null	null	null	0.77341	-0.10901	0.24835	-0.57288	26.4	10080.1.21	100
2026-3-6 13:22:27.522	WT1(D0:8E:86:5B:BD:44)	-0.995	0.163	0.046	-3.357	-1.892	-1.343	-16.80	69.30	-67.34	2.300	-14.340	-19.100	null	null	null	null	null	null	-0.29657	-0.66788	-0.17587	0.65952	24.2	10080.1.21	100
2026-3-6 13:22:27.531	WT3(F3:2A:15:68:55:37)	-0.263	0.144	0.960	-0.671	0.000	0.916	9.28	14.69	-105.61	-30.400	6.100	-39.800	null	null	null	null	null	null	0.58926	0.15009	0.01297	-0.79370	25.8	10080.1.21	100
2026-3-6 13:22:27.540	WT2(CA:F4:44:5B:2A:5C)	-0.429	0.794	0.461	-0.793	0.000	0.610	60.53	24.37	-44.04	-9.900	-13.300	-27.547	null	null	null	null	null	null	0.74310	0.52347	-0.01187	-0.41656	25.8	10080.1.21	100
2026-3-6 13:22:27.577	WT4(FA:E0:7F:9A:F3:3E)	-0.268	-0.473	0.858	1.099	0.183	-0.305	-28.00	14.95	-76.79	-33.900	34.100	-48.133	null	null	null	null	null	null	0.77341	-0.10901	0.24835	-0.57288	26.4	10080.1.21	100
2026-3-6 13:22:27.592	WT3(F3:2A:15:68:55:37)	-0.253	0.136	0.965	0.671	0.916	0.061	9.26	14.69	-105.60	-30.000	5.400	-38.180	null	null	null	null	null	null	0.58926	0.15009	0.01297	-0.79370	25.8	10080.1.21	100
2026-3-6 13:22:27.611	WT1(D0:8E:86:5B:BD:44)	-0.977	0.167	0.057	-1.404	-1.282	-0.977	-17.10	69.35	-67.54	2.300	-14.340	-19.100	null	null	null	null	null	null	-0.29657	-0.66788	-0.17587	0.65952	24.2	10080.1.21	100
2026-3-6 13:22:27.681	WT2(CA:F4:44:5B:2A:5C)	-0.425	0.786	0.459	1.709	0.488	-0.366	60.54	24.38	-44.06	-9.900	-13.300	-27.547	null	null	null	null	null	null	0.74310	0.52347	-0.01187	-0.41656	25.8	10080.1.21	100
2026-3-6 13:22:27.694	WT4(FA:E0:7F:9A:F3:3E)	-0.265	-0.459	0.865	0.244	0.000	0.488	-27.94	14.95	-76.80	-33.900	34.100	-48.133	null	null	null	null	null	null	0.77341	-0.10901	0.24835	-0.57288	26.4	10080.1.21	100
2026-3-6 13:22:27.730	WT1(D0:8E:86:5B:BD:44)	-0.976	0.156	0.051	0.000	0.061	0.793	-17.18	69.38	-67.59	2.300	-14.340	-19.100	null	null	null	null	null	null	-0.29852	-0.66574	-0.17880	0.65997	24.2	10080.1.21	100
2026-3-6 13:22:27.739	WT3(F3:2A:15:68:55:37)	-0.253	0.139	0.960	-0.427	0.244	0.977	9.23	14.69	-105.58	-30.000	5.400	-38.180	null	null	null	null	null	null	0.58926	0.15009	0.01297	-0.79370	25.8	10080.1.21	100
2026-3-6 13:22:27.747	WT4(FA:E0:7F:9A:F3:3E)	-0.255	-0.467	0.859	0.549	0.061	0.854	-27.95	14.94	-76.77	-33.900	34.100	-48.133	null	null	null	null	null	null	0.77362	-0.10941	0.24765	-0.57278	26.4	10080.1.21	100
2026-3-6 13:22:27.748	WT2(CA:F4:44:5B:2A:5C)	-0.418	0.789	0.466	-0.488	0.000	1.099	60.55	24.35	-44.03	-9.900	-13.300	-27.547	null	null	null	null	null	null	0.74341	0.52335	-0.01114	-0.41617	25.8	10080.1.21	100
2026-3-6 13:22:27.793	WT1(D0:8E:86:5B:BD:44)	-0.992	0.152	0.045	-0.122	-0.671	-1.892	-17.52	69.43	-67.81	2.300	-14.340	-19.100	null	null	null	null	null	null	-0.29852	-0.66574	-0.17880	0.65997	24.2	10080.1.21	100
2026-3-6 13:22:27.804	WT3(F3:2A:15:68:55:37)	-0.250	0.146	0.958	0.549	0.244	0.916	9.20	14.69	-105.57	-30.000	5.400	-38.180	null	null	null	null	null	null	0.58981	0.14951	0.01382	-0.79340	25.8	10080.1.21	100
2026-3-6 13:22:27.846	WT2(CA:F4:44:5B:2A:5C)	-0.405	0.789	0.451	-0.610	0.000	0.000	60.64	24.36	-43.95	-9.900	-13.300	-27.547	null	null	null	null	null	null	0.74341	0.52335	-0.01114	-0.41617	25.8	10080.1.21	100
2026-3-6 13:22:27.878	WT4(FA:E0:7F:9A:F3:3E)	-0.256	-0.471	0.865	1.160	1.404	0.671	-27.97	14.95	-76.77	-33.900	34.100	-48.133	null	null	null	null	null	null	0.77362	-0.10941	0.24765	-0.57278	26.4	10080.1.21	100
2026-3-6 13:22:27.913	WT1(D0:8E:86:5B:BD:44)	-0.963	0.174	0.029	1.038	-0.061	-0.549	-16.94	69.43	-67.20	2.300	-14.340	-19.100	null	null	null	null	null	null	-0.29852	-0.66574	-0.17880	0.65997	24.2	10080.1.21	100
2026-3-6 13:22:27.925	WT3(F3:2A:15:68:55:37)	-0.256	0.137	0.969	1.770	0.427	0.305	9.17	14.69	-105.55	-30.000	5.400	-38.180	null	null	null	null	null	null	0.58981	0.14951	0.01382	-0.79340	25.8	10080.1.21	100
2026-3-6 13:22:27.983	WT4(FA:E0:7F:9A:F3:3E)	-0.263	-0.452	0.879	-1.770	3.723	-0.549	-27.99	15.03	-76.71	-31.700	35.700	-50.293	null	null	null	null	null	null	0.77362	-0.10941	0.24765	-0.57278	26.4	10080.1.21	100
2026-3-6 13:22:27.984	WT2(CA:F4:44:5B:2A:5C)	-0.435	0.791	0.461	1.709	1.343	-1.343	60.70	24.35	-43.88	-8.200	-15.100	-27.640	null	null	null	null	null	null	0.74341	0.52335	-0.01114	-0.41617	25.8	10080.1.21	100
2026-3-6 13:22:28.0	WT1(D0:8E:86:5B:BD:44)	-0.997	0.147	0.045	1.465	-3.357	0.366	-18.33	69.53	-68.69	3.200	-15.340	-19.700	null	null	null	null	null	null	-0.29852	-0.66574	-0.17880	0.65997	24.2	10080.1.21	100
2026-3-6 13:22:28.10	WT3(F3:2A:15:68:55:37)	-0.276	0.147	0.954	-0.427	3.296	-1.770	9.24	14.90	-105.62	-30.800	6.000	-38.013	null	null	null	null	null	null	0.58981	0.14951	0.01382	-0.79340	25.8	10080.1.21	100
2026-3-6 13:22:28.23	WT2(CA:F4:44:5B:2A:5C)	-0.430	0.792	0.452	-1.404	0.488	-2.991	60.73	24.61	-44.01	-8.200	-15.100	-27.640	null	null	null	null	null	null	0.74341	0.52335	-0.01114	-0.41617	25.8	10080.1.21	100
2026-3-6 13:22:28.86	WT4(FA:E0:7F:9A:F3:3E)	-0.272	-0.472	0.865	0.244	4.272	0.366	-28.15	15.30	-76.95	-31.700	35.700	-50.293	null	null	null	null	null	null	0.77362	-0.10941	0.24765	-0.57278	26.4	10080.1.21	100
2026-3-6 13:22:28.120	WT1(D0:8E:86:5B:BD:44)	-0.971	0.155	0.070	-2.380	-1.465	-3.113	-19.39	69.51	-69.74	3.200	-15.340	-19.700	null	null	null	null	null	null	-0.29730	-0.66354	-0.18073	0.66226	24.2	10080.1.21	100
2026-3-6 13:22:28.130	WT3(F3:2A:15:68:55:37)	-0.261	0.146	0.962	2.686	0.916	1.648	9.33	15.07	-105.63	-30.800	6.000	-38.013	null	null	null	null	null	null	0.58981	0.14951	0.01382	-0.79340	25.8	10080.1.21	100
2026-3-6 13:22:28.141	WT2(CA:F4:44:5B:2A:5C)	-0.435	0.783	0.439	1.953	0.000	2.380	60.92	24.66	-43.93	-8.200	-15.100	-27.640	null	null	null	null	null	null	0.74121	0.52606	-0.01001	-0.41672	25.8	10080.1.21	100
2026-3-6 13:22:28.182	WT4(FA:E0:7F:9A:F3:3E)	-0.297	-0.454	0.875	1.038	0.610	0.488	-28.04	15.40	-76.82	-31.700	35.700	-50.293	null	null	null	null	null	null	0.77341	-0.10672	0.25137	-0.57196	26.4	10080.1.21	100
2026-3-6 13:22:28.214	WT1(D0:8E:86:5B:BD:44)	-0.978	0.151	0.051	0.183	-1.770	-1.770	-19.43	69.74	-69.69	3.200	-15.340	-19.700	null	null	null	null	null	null	-0.29730	-0.66354	-0.18073	0.66226	24.2	10080.1.21	100
2026-3-6 13:22:28.220	WT3(F3:2A:15:68:55:37)	-0.261	0.149	0.944	0.366	1.831	2.136	9.56	15.00	-105.50	-30.800	6.000	-38.013	null	null	null	null	null	null	0.59088	0.15256	0.01294	-0.79202	25.8	10080.1.21	100
2026-3-6 13:22:28.229	WT2(CA:F4:44:5B:2A:5C)	-0.442	0.781	0.434	-0.671	3.113	1.587	61.09	24.61	-43.76	-8.200	-15.100	-27.640	null	null	null	null	null	null	0.74121	0.52606	-0.01001	-0.41672	25.8	10080.1.21	100
2026-3-6 13:22:28.294	WT4(FA:E0:7F:9A:F3:3E)	-0.268	-0.464	0.857	-1.404	-1.587	0.366	-27.98	15.38	-76.78	-31.700	35.700	-50.293	null	null	null	null	null	null	0.77341	-0.10672	0.25137	-0.57196	26.4	10080.1.21	100
2026-3-6 13:22:28.332	WT1(D0:8E:86:5B:BD:44)	-0.993	0.156	0.078	-6.287	-2.380	2.136	-18.82	69.68	-68.82	2.600	-12.927	-20.300	null	null	null	null	null	null	-0.29730	-0.66354	-0.18073	0.66226	24.2	10080.1.21	100
