时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	位移X(mm)	位移Y(mm)	位移Z(mm)	速度X(mm/s)	速度Y(mm/s)	速度Z(mm/s)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2026-3-6 13:23:22.526	WT3(F3:2A:15:68:55:37)	-0.229	0.180	0.972	0.244	2.075	0.732	11.78	12.69	-108.96	-31.900	2.900	-36.987	null	null	null	null	null	null	0.56497	0.14893	-0.01929	-0.81128	25.9	10080.1.21	100
2026-3-6 13:23:22.534	WT2(CA:F4:44:5B:2A:5C)	-0.396	0.818	0.432	-0.244	0.061	0.000	63.18	22.30	-44.87	-10.400	-15.400	-26.640	null	null	null	null	null	null	0.73459	0.53622	-0.04065	-0.41367	25.9	10080.1.21	100
2026-3-6 13:23:22.568	WT4(FA:E0:7F:9A:F3:3E)	-0.340	-0.458	0.849	0.427	-0.183	0.488	-28.36	18.50	-83.30	-30.900	33.400	-46.320	null	null	null	null	null	null	0.74152	-0.07736	0.27701	-0.60608	26.6	10080.1.21	100
2026-3-6 13:23:22.578	WT3(F3:2A:15:68:55:37)	-0.224	0.184	0.960	-0.122	-0.122	0.488	11.76	12.68	-108.95	-33.800	3.500	-35.840	null	null	null	null	null	null	0.56497	0.14893	-0.01929	-0.81128	25.9	10080.1.21	100
2026-3-6 13:23:22.597	WT1(D0:8E:86:5B:BD:44)	-0.965	0.233	0.123	-1.282	-1.221	-0.183	-27.27	64.26	-82.90	6.700	-10.393	-20.000	null	null	null	null	null	null	-0.29550	-0.65417	-0.11722	0.68619	24.2	10080.1.21	100
2026-3-6 13:23:22.622	WT2(CA:F4:44:5B:2A:5C)	-0.393	0.817	0.428	0.122	-0.549	0.183	63.18	22.35	-44.85	-10.400	-15.400	-26.640	null	null	null	null	null	null	0.73459	0.53622	-0.04065	-0.41367	25.9	10080.1.21	100
2026-3-6 13:23:22.682	WT4(FA:E0:7F:9A:F3:3E)	-0.318	-0.457	0.846	-0.366	0.000	0.854	-28.37	18.52	-83.34	-30.900	33.400	-46.320	null	null	null	null	null	null	0.74081	-0.07681	0.27740	-0.60684	26.6	10080.1.21	100
2026-3-6 13:23:22.722	WT1(D0:8E:86:5B:BD:44)	-0.968	0.225	0.124	-1.831	0.061	-0.061	-27.51	64.23	-83.05	6.700	-10.393	-20.000	null	null	null	null	null	null	-0.29761	-0.65372	-0.11761	0.68567	24.2	10080.1.21	100
2026-3-6 13:23:22.732	WT3(F3:2A:15:68:55:37)	-0.210	0.185	0.964	-0.427	0.671	1.343	11.73	12.68	-108.93	-33.800	3.500	-35.840	null	null	null	null	null	null	0.56497	0.14893	-0.01929	-0.81128	25.9	10080.1.21	100
2026-3-6 13:23:22.738	WT4(FA:E0:7F:9A:F3:3E)	-0.314	-0.463	0.844	-0.793	-0.427	1.343	-28.37	18.53	-83.38	-30.900	33.400	-46.320	null	null	null	null	null	null	0.74081	-0.07681	0.27740	-0.60684	26.6	10080.1.21	100
2026-3-6 13:23:22.739	WT2(CA:F4:44:5B:2A:5C)	-0.380	0.826	0.443	-1.587	-1.038	2.319	63.18	22.32	-44.80	-10.400	-15.400	-26.640	null	null	null	null	null	null	0.73499	0.53564	-0.03918	-0.41382	25.9	10080.1.21	100
2026-3-6 13:23:22.781	WT1(D0:8E:86:5B:BD:44)	-0.961	0.234	0.108	-3.418	-2.441	-2.319	-27.59	64.33	-83.05	6.700	-10.393	-20.000	null	null	null	null	null	null	-0.29761	-0.65372	-0.11761	0.68567	24.2	10080.1.21	100
2026-3-6 13:23:22.788	WT3(F3:2A:15:68:55:37)	-0.230	0.188	0.968	3.540	1.648	0.366	11.92	12.64	-108.87	-33.800	3.500	-35.840	null	null	null	null	null	null	0.56482	0.15118	-0.02136	-0.81091	25.9	10080.1.21	100
2026-3-6 13:23:22.864	WT4(FA:E0:7F:9A:F3:3E)	-0.350	-0.470	0.848	1.343	5.249	-0.122	-28.40	18.73	-83.56	-30.900	33.400	-46.320	null	null	null	null	null	null	0.74081	-0.07681	0.27740	-0.60684	26.6	10080.1.21	100
2026-3-6 13:23:22.865	WT2(CA:F4:44:5B:2A:5C)	-0.405	0.821	0.436	4.211	-1.221	0.000	63.43	22.32	-44.75	-10.400	-15.400	-26.640	null	null	null	null	null	null	0.73499	0.53564	-0.03918	-0.41382	25.9	10080.1.21	100
2026-3-6 13:23:22.902	WT1(D0:8E:86:5B:BD:44)	-0.975	0.221	0.129	3.540	-5.066	-4.822	-29.17	64.49	-84.83	5.300	-8.767	-20.300	null	null	null	null	null	null	-0.29761	-0.65372	-0.11761	0.68567	24.2	10080.1.21	100
2026-3-6 13:23:22.912	WT3(F3:2A:15:68:55:37)	-0.247	0.191	0.957	4.761	3.235	-0.854	12.36	12.94	-108.95	-33.800	3.500	-35.840	null	null	null	null	null	null	0.56482	0.15118	-0.02136	-0.81091	25.9	10080.1.21	100
2026-3-6 13:23:22.973	WT4(FA:E0:7F:9A:F3:3E)	-0.339	-0.451	0.847	0.000	1.953	1.465	-28.34	19.20	-83.83	-30.500	34.600	-48.893	null	null	null	null	null	null	0.74081	-0.07681	0.27740	-0.60684	26.6	10080.1.21	100
2026-3-6 13:23:22.974	WT2(CA:F4:44:5B:2A:5C)	-0.396	0.825	0.397	2.441	2.563	-1.038	63.96	22.62	-44.75	-10.900	-17.200	-24.540	null	null	null	null	null	null	0.73499	0.53564	-0.03918	-0.41382	25.9	10080.1.21	100
2026-3-6 13:23:22.989	WT1(D0:8E:86:5B:BD:44)	-0.970	0.210	0.169	-6.409	-0.916	-3.784	-30.22	64.60	-85.78	5.300	-8.767	-20.300	null	null	null	null	null	null	-0.29761	-0.65372	-0.11761	0.68567	24.2	10080.1.21	100
2026-3-6 13:23:23.1	WT3(F3:2A:15:68:55:37)	-0.239	0.205	0.958	2.441	0.488	2.747	12.73	13.09	-108.81	-31.700	3.000	-40.187	null	null	null	null	null	null	0.56482	0.15118	-0.02136	-0.81091	25.9	10080.1.21	100
2026-3-6 13:23:23.14	WT2(CA:F4:44:5B:2A:5C)	-0.375	0.810	0.401	2.686	3.845	-0.183	64.25	22.63	-44.54	-10.900	-17.200	-24.540	null	null	null	null	null	null	0.73499	0.53564	-0.03918	-0.41382	25.9	10080.1.21	100
