时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	位移X(mm)	位移Y(mm)	位移Z(mm)	速度X(mm/s)	速度Y(mm/s)	速度Z(mm/s)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2026-2-26 15:16:23.563	WT2(CA:F4:44:5B:2A:5C)	-0.425	0.733	0.540	-1.343	-0.854	0.000	53.44	23.17	-92.94	-6.500	-13.200	-27.127	null	null	null	null	null	null	0.53748	0.43387	-0.19244	-0.69693	22.1	10080.1.21	100
2026-2-26 15:16:23.603	WT1(D0:8E:86:5B:BD:44)	-0.092	1.016	0.021	-3.723	3.601	2.869	-0.05	-6.62	-147.90	-11.700	-18.000	14.940	null	null	null	null	null	null	0.16959	0.21982	-0.67203	-0.68643	21.1	10080.1.21	100
2026-2-26 15:16:23.610	WT4(FA:E0:7F:9A:F3:3E)	0.746	-0.149	0.652	-0.366	10.254	2.197	-10.03	-48.14	106.72	-29.100	16.600	-49.573	null	null	null	null	null	null	0.56802	0.28342	-0.31342	0.70618	23.1	10080.1.21	100
2026-2-26 15:16:23.692	WT3(F3:2A:15:68:55:37)	-0.227	0.046	0.987	2.441	2.563	-1.953	3.63	12.02	-23.31	-30.300	35.653	9.700	null	null	null	null	null	null	0.97302	0.05136	0.09631	-0.20300	22.4	10080.1.21	100
2026-2-26 15:16:23.693	WT2(CA:F4:44:5B:2A:5C)	-0.453	0.738	0.530	3.174	1.160	-3.418	53.53	23.15	-93.16	-6.500	-13.200	-27.127	null	null	null	null	null	null	0.53748	0.43387	-0.19244	-0.69693	22.1	10080.1.21	100
2026-2-26 15:16:23.693	WT1(D0:8E:86:5B:BD:44)	-0.090	1.005	0.007	-4.028	-1.770	-5.554	-0.17	-6.60	-148.28	-11.700	-18.000	14.940	null	null	null	null	null	null	0.16959	0.21982	-0.67203	-0.68643	21.1	10080.1.21	100
2026-2-26 15:16:23.730	WT4(FA:E0:7F:9A:F3:3E)	0.740	-0.147	0.659	-3.967	1.282	2.686	-10.39	-47.70	106.87	-29.100	16.600	-49.573	null	null	null	null	null	null	0.56802	0.28342	-0.31342	0.70618	23.1	10080.1.21	100
2026-2-26 15:16:23.772	WT3(F3:2A:15:68:55:37)	-0.220	0.063	0.979	1.404	3.174	0.244	3.78	12.30	-23.43	-29.400	38.033	9.800	null	null	null	null	null	null	0.97302	0.05136	0.09631	-0.20300	22.4	10080.1.21	100
2026-2-26 15:16:23.773	WT2(CA:F4:44:5B:2A:5C)	-0.445	0.744	0.500	-0.305	0.244	-2.258	53.70	23.42	-93.25	-6.500	-13.200	-27.127	null	null	null	null	null	null	0.53296	0.43530	-0.19162	-0.69974	22.1	10080.1.21	100
2026-2-26 15:16:23.810	WT1(D0:8E:86:5B:BD:44)	-0.094	0.982	-0.002	-4.944	0.916	-2.136	-0.37	-6.31	-148.42	-11.900	-17.800	15.147	null	null	null	null	null	null	0.16959	0.21982	-0.67203	-0.68643	21.1	10080.1.21	100
