时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	位移X(mm)	位移Y(mm)	位移Z(mm)	速度X(mm/s)	速度Y(mm/s)	速度Z(mm/s)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2026-2-24 15:28:19.451	WT1(D0:8E:86:5B:BD:44)	-0.263	0.983	-0.072	-2.258	0.916	-1.831	4.30	3.13	47.85	-8.100	-13.900	-30.333	null	null	null	null	null	null	-0.65381	-0.63080	-0.37125	-0.19159	19.7	10080.1.21	100
2026-2-24 15:28:19.460	WT3(F3:2A:15:68:55:37)	0.164	-0.297	0.932	-2.319	7.202	-1.099	-17.48	-6.72	-51.89	-44.000	29.827	0.300	null	null	null	null	null	null	0.88388	-0.15787	0.01495	-0.43985	21.4	10080.1.21	100
2026-2-24 15:28:19.469	WT4(FA:E0:7F:9A:F3:3E)	0.066	-0.163	0.993	-2.502	6.470	-0.244	-9.35	0.00	-69.93	-32.100	27.500	-61.420	null	null	null	null	null	null	0.81674	-0.06671	0.04590	-0.57120	23.0	10080.1.21	100
2026-2-24 15:28:19.502	WT2(CA:F4:44:5B:2A:5C)	-0.086	-0.122	1.011	5.005	-0.854	-1.160	-6.77	10.27	142.28	-16.953	-30.747	-1.307	null	null	null	null	null	null	-0.31427	0.11005	0.03229	-0.94232	21.5	10080.1.21	100
2026-2-24 15:28:19.532	WT4(FA:E0:7F:9A:F3:3E)	0.203	-0.206	1.000	-2.991	6.470	-2.808	-9.66	-0.04	-69.92	-32.100	27.500	-61.420	null	null	null	null	null	null	0.81674	-0.06671	0.04590	-0.57120	23.0	10080.1.21	100
2026-2-24 15:28:19.549	WT3(F3:2A:15:68:55:37)	0.244	-0.394	0.991	3.845	3.113	3.296	-17.60	-6.82	-51.90	-44.000	29.827	0.300	null	null	null	null	null	null	0.88644	-0.15219	0.01627	-0.43668	21.4	10080.1.21	100
2026-2-24 15:28:19.600	WT1(D0:8E:86:5B:BD:44)	-0.257	0.941	-0.056	-0.793	1.831	-0.854	4.07	3.32	47.82	-8.100	-13.900	-30.333	null	null	null	null	null	null	-0.65381	-0.63080	-0.37125	-0.19159	19.7	10080.1.21	100
2026-2-24 15:28:19.624	WT2(CA:F4:44:5B:2A:5C)	-0.082	-0.224	1.137	-5.066	19.226	10.315	-6.71	11.02	142.66	-15.353	-32.247	-1.860	null	null	null	null	null	null	-0.31427	0.11005	0.03229	-0.94232	21.5	10080.1.21	100
2026-2-24 15:28:19.649	WT4(FA:E0:7F:9A:F3:3E)	0.014	-0.350	0.962	23.010	16.235	-10.681	-8.55	1.12	-70.68	-29.200	29.100	-62.773	null	null	null	null	null	null	0.81674	-0.06671	0.04590	-0.57120	23.0	10080.1.21	100
2026-2-24 15:28:19.680	WT1(D0:8E:86:5B:BD:44)	-0.289	0.964	-0.045	-0.732	3.967	-4.761	4.19	3.28	47.86	-8.000	-14.400	-30.940	null	null	null	null	null	null	-0.65381	-0.63080	-0.37125	-0.19159	19.7	10080.1.21	100
2026-2-24 15:28:19.682	WT3(F3:2A:15:68:55:37)	0.111	-0.535	1.013	47.668	20.569	18.860	-15.28	-5.24	-51.24	-44.000	29.827	0.300	null	null	null	null	null	null	0.88644	-0.15219	0.01627	-0.43668	21.4	10080.1.21	100
2026-2-24 15:28:19.684	WT2(CA:F4:44:5B:2A:5C)	-0.201	-0.301	1.094	13.489	26.062	23.132	-5.72	14.12	143.99	-15.353	-32.247	-1.860	null	null	null	null	null	null	-0.31427	0.11005	0.03229	-0.94232	21.5	10080.1.21	100
2026-2-24 15:28:19.778	WT4(FA:E0:7F:9A:F3:3E)	-0.206	-0.354	0.928	29.419	28.259	-9.155	-5.15	3.14	-71.76	-29.200	29.100	-62.773	null	null	null	null	null	null	0.81674	-0.06671	0.04590	-0.57120	23.0	10080.1.21	100
2026-2-24 15:28:19.781	WT1(D0:8E:86:5B:BD:44)	-0.234	0.955	-0.065	-2.136	-0.916	-1.831	4.07	3.71	48.03	-8.000	-14.400	-30.940	null	null	null	null	null	null	-0.65381	-0.63080	-0.37125	-0.19159	19.7	10080.1.21	100
2026-2-24 15:28:19.791	WT3(F3:2A:15:68:55:37)	-0.071	-0.479	0.877	71.533	22.400	23.804	-9.35	-3.64	-49.28	-42.400	41.620	-11.400	null	null	null	null	null	null	0.88644	-0.15219	0.01627	-0.43668	21.4	10080.1.21	100
2026-2-24 15:28:19.801	WT2(CA:F4:44:5B:2A:5C)	-0.320	-0.313	0.812	51.331	44.006	51.636	-1.32	17.83	147.28	-15.353	-32.247	-1.860	null	null	null	null	null	null	-0.25537	0.16556	-0.05298	-0.95105	21.5	10080.1.21	100
2026-2-24 15:28:19.886	WT4(FA:E0:7F:9A:F3:3E)	-0.175	-0.188	0.977	28.564	20.508	-17.639	-1.59	5.83	-73.27	-29.200	29.100	-62.773	null	null	null	null	null	null	0.79587	0.03024	0.04688	-0.60281	23.0	10080.1.21	100
2026-2-24 15:28:19.887	WT1(D0:8E:86:5B:BD:44)	-0.269	0.921	-0.038	-1.648	5.432	12.878	3.85	3.31	47.91	-8.000	-14.400	-30.940	null	null	null	null	null	null	-0.65488	-0.63110	-0.36484	-0.19910	19.7	10080.1.21	100
2026-2-24 15:28:19.887	WT3(F3:2A:15:68:55:37)	-0.026	-0.212	0.754	32.410	4.700	39.185	-3.77	-2.09	-46.35	-42.400	41.620	-11.400	null	null	null	null	null	null	0.88644	-0.15219	0.01627	-0.43668	21.4	10080.1.21	100
2026-2-24 15:28:19.893	WT2(CA:F4:44:5B:2A:5C)	-0.260	0.006	0.670	-2.075	31.128	70.923	3.77	20.96	154.61	-15.353	-32.247	-1.860	null	null	null	null	null	null	-0.25537	0.16556	-0.05298	-0.95105	21.5	10080.1.21	100
2026-2-24 15:28:19.943	WT3(F3:2A:15:68:55:37)	0.069	0.034	0.971	-20.935	-21.118	21.667	-3.60	-1.43	-42.80	-42.400	41.620	-11.400	null	null	null	null	null	null	0.92969	-0.05109	-0.00244	-0.36465	21.4	10080.1.21	100
2026-2-24 15:28:19.954	WT4(FA:E0:7F:9A:F3:3E)	-0.131	0.054	0.907	-34.058	19.714	-17.029	-1.25	6.07	-75.01	-29.200	29.100	-62.773	null	null	null	null	null	null	0.79587	0.03024	0.04688	-0.60281	23.0	10080.1.21	100
2026-2-24 15:28:19.992	WT1(D0:8E:86:5B:BD:44)	-0.203	1.004	-0.092	-0.916	-5.615	-2.014	3.54	2.09	47.72	-8.000	-14.400	-30.940	null	null	null	null	null	null	-0.65488	-0.63110	-0.36484	-0.19910	19.7	10080.1.21	100
2026-2-24 15:28:20.16	WT2(CA:F4:44:5B:2A:5C)	-0.426	0.177	1.026	27.588	0.000	24.597	5.12	20.33	160.32	-2.953	-35.347	-32.587	null	null	null	null	null	null	-0.25537	0.16556	-0.05298	-0.95105	21.5	10080.1.21	100
2026-2-24 15:28:20.80	WT4(FA:E0:7F:9A:F3:3E)	-0.271	0.142	1.064	-44.617	29.480	-19.897	-5.22	6.99	-77.34	-37.000	23.100	-49.127	null	null	null	null	null	null	0.79587	0.03024	0.04688	-0.60281	23.0	10080.1.21	100
2026-2-24 15:28:20.82	WT1(D0:8E:86:5B:BD:44)	-0.252	0.937	-0.031	8.057	-1.282	-5.493	3.88	2.97	46.79	-7.400	-16.000	-29.560	null	null	null	null	null	null	-0.65488	-0.63110	-0.36484	-0.19910	19.7	10080.1.21	100
2026-2-24 15:28:20.92	WT3(F3:2A:15:68:55:37)	0.208	0.235	1.047	-38.635	-13.550	-9.094	-6.09	-2.82	-42.91	-42.400	41.620	-11.400	null	null	null	null	null	null	0.92969	-0.05109	-0.00244	-0.36465	21.4	10080.1.21	100
2026-2-24 15:28:20.100	WT2(CA:F4:44:5B:2A:5C)	-0.611	0.314	0.962	6.042	-2.014	-5.615	6.94	19.52	160.26	-2.953	-35.347	-32.587	null	null	null	null	null	null	-0.25537	0.16556	-0.05298	-0.95105	21.5	10080.1.21	100
2026-2-24 15:28:20.151	WT3(F3:2A:15:68:55:37)	0.167	0.085	1.117	-20.447	-23.132	3.052	-9.54	-4.17	-43.21	-40.800	24.387	15.100	null	null	null	null	null	null	0.92969	-0.05109	-0.00244	-0.36465	21.4	10080.1.21	100
2026-2-24 15:28:20.183	WT4(FA:E0:7F:9A:F3:3E)	-0.225	0.120	0.997	-44.434	15.137	1.404	-9.77	10.45	-78.85	-37.000	23.100	-49.127	null	null	null	null	null	null	0.77368	-0.02280	0.14380	-0.61655	23.0	10080.1.21	100
2026-2-24 15:28:20.202	WT1(D0:8E:86:5B:BD:44)	-0.210	1.044	-0.069	-9.094	3.845	8.118	3.93	2.34	46.69	-7.400	-16.000	-29.560	null	null	null	null	null	null	-0.65488	-0.63110	-0.36484	-0.19910	19.7	10080.1.21	100
2026-2-24 15:28:20.222	WT2(CA:F4:44:5B:2A:5C)	-0.102	0.487	0.864	33.264	-27.710	11.780	10.07	19.05	161.15	-2.953	-35.347	-32.587	null	null	null	null	null	null	-0.17023	0.11926	-0.10995	-0.97192	21.5	10080.1.21	100
2026-2-24 15:28:20.289	WT1(D0:8E:86:5B:BD:44)	-0.235	0.917	-0.017	-5.615	5.920	-3.418	2.90	2.46	46.58	-7.400	-16.000	-29.560	null	null	null	null	null	null	-0.66077	-0.62891	-0.35965	-0.19592	19.7	10080.1.21	100
2026-2-24 15:28:20.289	WT3(F3:2A:15:68:55:37)	0.303	-0.137	1.101	9.949	-46.997	12.207	-10.13	-6.62	-42.41	-40.800	24.387	15.100	null	null	null	null	null	null	0.92969	-0.05109	-0.00244	-0.36465	21.4	10080.1.21	100
2026-2-24 15:28:20.290	WT4(FA:E0:7F:9A:F3:3E)	-0.184	-0.243	1.055	-2.686	0.244	21.606	-12.74	11.66	-77.93	-37.000	23.100	-49.127	null	null	null	null	null	null	0.77368	-0.02280	0.14380	-0.61655	23.0	10080.1.21	100
2026-2-24 15:28:20.290	WT2(CA:F4:44:5B:2A:5C)	-0.333	0.300	1.074	39.246	-25.635	20.813	12.25	13.54	162.34	-2.953	-35.347	-32.587	null	null	null	null	null	null	-0.17023	0.11926	-0.10995	-0.97192	21.5	10080.1.21	100
2026-2-24 15:28:20.342	WT4(FA:E0:7F:9A:F3:3E)	-0.181	-0.143	0.993	-5.005	-1.953	9.033	-12.43	11.62	-75.62	-37.000	23.100	-49.127	null	null	null	null	null	null	0.77368	-0.02280	0.14380	-0.61655	23.0	10080.1.21	100
2026-2-24 15:28:20.386	WT3(F3:2A:15:68:55:37)	0.140	-0.114	0.962	8.057	9.155	-2.808	-8.94	-9.77	-41.58	-40.800	24.387	15.100	null	null	null	null	null	null	0.92969	-0.05109	-0.00244	-0.36465	21.4	10080.1.21	100
2026-2-24 15:28:20.387	WT1(D0:8E:86:5B:BD:44)	-0.235	0.928	-0.008	1.526	15.015	7.568	3.03	1.97	47.28	-7.400	-16.000	-29.560	null	null	null	null	null	null	-0.66077	-0.62891	-0.35965	-0.19592	19.7	10080.1.21	100
2026-2-24 15:28:20.402	WT2(CA:F4:44:5B:2A:5C)	-0.024	0.276	1.027	11.475	2.075	-9.460	15.21	12.95	161.53	-2.953	-35.347	-32.587	null	null	null	null	null	null	-0.17023	0.11926	-0.10995	-0.97192	21.5	10080.1.21	100
2026-2-24 15:28:20.461	WT4(FA:E0:7F:9A:F3:3E)	-0.215	-0.184	1.016	-4.700	-4.211	17.700	-12.34	11.60	-74.21	-34.100	24.800	-51.473	null	null	null	null	null	null	0.77368	-0.02280	0.14380	-0.61655	23.0	10080.1.21	100
2026-2-24 15:28:20.485	WT1(D0:8E:86:5B:BD:44)	-0.209	0.975	-0.058	5.676	3.418	5.066	3.57	1.29	48.04	-7.300	-15.500	-31.953	null	null	null	null	null	null	-0.66077	-0.62891	-0.35965	-0.19592	19.7	10080.1.21	100
2026-2-24 15:28:20.485	WT3(F3:2A:15:68:55:37)	0.077	-0.165	0.940	-5.554	-17.212	10.925	-8.56	-9.17	-41.28	-40.800	24.387	15.100	null	null	null	null	null	null	0.92856	-0.09964	-0.05072	-0.35379	21.4	10080.1.21	100
2026-2-24 15:28:20.490	WT2(CA:F4:44:5B:2A:5C)	-0.198	0.297	1.006	4.211	13.916	1.404	16.52	12.00	161.58	1.047	37.053	-27.833	null	null	null	null	null	null	-0.17023	0.11926	-0.10995	-0.97192	21.5	10080.1.21	100
2026-2-24 15:28:20.554	WT4(FA:E0:7F:9A:F3:3E)	-0.131	-0.167	0.989	4.028	-15.503	8.301	-12.04	10.89	-72.97	-34.100	24.800	-51.473	null	null	null	null	null	null	0.77368	-0.02280	0.14380	-0.61655	23.0	10080.1.21	100
2026-2-24 15:28:20.594	WT1(D0:8E:86:5B:BD:44)	-0.223	0.973	-0.053	3.357	0.977	5.554	4.08	0.81	48.35	-7.300	-15.500	-31.953	null	null	null	null	null	null	-0.66077	-0.62891	-0.35965	-0.19592	19.7	10080.1.21	100
2026-2-24 15:28:20.602	WT3(F3:2A:15:68:55:37)	0.146	-0.133	0.985	5.371	0.000	-0.244	-8.39	-8.31	-40.94	-40.800	24.387	15.100	null	null	null	null	null	null	0.92856	-0.09964	-0.05072	-0.35379	21.4	10080.1.21	100
2026-2-24 15:28:20.612	WT2(CA:F4:44:5B:2A:5C)	-0.223	0.256	0.958	-2.075	-0.061	-4.456	16.52	13.08	161.80	1.047	37.053	-27.833	null	null	null	null	null	null	-0.17181	0.09470	-0.15567	-0.96808	21.5	10080.1.21	100
2026-2-24 15:28:20.689	WT4(FA:E0:7F:9A:F3:3E)	-0.186	-0.197	1.038	3.967	13.855	3.235	-11.33	10.59	-72.39	-34.100	24.800	-51.473	null	null	null	null	null	null	0.80502	-0.02231	0.13528	-0.57709	23.0	10080.1.21	100
2026-2-24 15:28:20.689	WT1(D0:8E:86:5B:BD:44)	-0.257	0.993	-0.094	4.028	5.188	2.502	4.47	0.45	48.65	-7.300	-15.500	-31.953	null	null	null	null	null	null	-0.64377	-0.64008	-0.36163	-0.21207	19.7	10080.1.21	100
2026-2-24 15:28:20.691	WT3(F3:2A:15:68:55:37)	0.167	-0.131	0.979	5.798	-6.897	-0.061	-7.84	-8.23	-41.04	-38.900	17.920	14.000	null	null	null	null	null	null	0.92856	-0.09964	-0.05072	-0.35379	21.4	10080.1.21	100
2026-2-24 15:28:20.702	WT2(CA:F4:44:5B:2A:5C)	-0.241	0.279	0.936	3.174	4.150	8.362	16.83	13.23	162.32	1.047	37.053	-27.833	null	null	null	null	null	null	-0.17181	0.09470	-0.15567	-0.96808	21.5	10080.1.21	100
2026-2-24 15:28:20.753	WT3(F3:2A:15:68:55:37)	0.135	-0.123	0.997	2.502	0.427	1.526	-7.40	-7.97	-40.95	-38.900	17.920	14.000	null	null	null	null	null	null	0.93182	-0.08533	-0.04318	-0.34991	21.4	10080.1.21	100
2026-2-24 15:28:20.792	WT4(FA:E0:7F:9A:F3:3E)	-0.187	-0.151	1.001	-6.531	-6.348	1.770	-11.26	11.07	-72.15	-34.100	24.800	-51.473	null	null	null	null	null	null	0.80502	-0.02231	0.13528	-0.57709	23.0	10080.1.21	100
2026-2-24 15:28:20.801	WT1(D0:8E:86:5B:BD:44)	-0.210	0.964	-0.075	-2.136	-2.136	-3.784	4.65	0.39	48.54	-7.300	-15.500	-31.953	null	null	null	null	null	null	-0.64377	-0.64008	-0.36163	-0.21207	19.7	10080.1.21	100
2026-2-24 15:28:20.820	WT2(CA:F4:44:5B:2A:5C)	-0.125	0.294	0.933	-0.671	-2.380	16.113	17.17	12.93	163.28	2.847	37.653	-28.647	null	null	null	null	null	null	-0.17181	0.09470	-0.15567	-0.96808	21.5	10080.1.21	100
2026-2-24 15:28:20.884	WT3(F3:2A:15:68:55:37)	0.128	-0.126	0.992	-2.197	8.240	4.700	-7.52	-7.93	-40.58	-38.900	17.920	14.000	null	null	null	null	null	null	0.93182	-0.08533	-0.04318	-0.34991	21.4	10080.1.21	100
2026-2-24 15:28:20.884	WT4(FA:E0:7F:9A:F3:3E)	-0.164	-0.177	0.985	-3.235	-8.362	0.366	-11.43	10.77	-71.89	-36.200	27.100	-46.460	null	null	null	null	null	null	0.80502	-0.02231	0.13528	-0.57709	23.0	10080.1.21	100
2026-2-24 15:28:20.916	WT2(CA:F4:44:5B:2A:5C)	-0.178	0.296	0.969	-1.160	5.676	-2.197	17.32	12.50	164.25	2.847	37.653	-28.647	null	null	null	null	null	null	-0.17181	0.09470	-0.15567	-0.96808	21.5	10080.1.21	100
2026-2-24 15:28:20.921	WT1(D0:8E:86:5B:BD:44)	-0.222	0.956	-0.047	-2.747	-2.563	2.014	4.33	0.35	48.16	-8.400	-16.600	-29.180	null	null	null	null	null	null	-0.64377	-0.64008	-0.36163	-0.21207	19.7	10080.1.21	100
2026-2-24 15:28:20.943	WT4(FA:E0:7F:9A:F3:3E)	-0.188	-0.176	0.991	-5.920	11.108	-2.197	-11.44	10.60	-72.02	-36.200	27.100	-46.460	null	null	null	null	null	null	0.80502	-0.02231	0.13528	-0.57709	23.0	10080.1.21	100
2026-2-24 15:28:20.996	WT3(F3:2A:15:68:55:37)	0.148	-0.126	0.982	0.916	-8.728	-2.441	-7.55	-8.02	-40.64	-38.900	17.920	14.000	null	null	null	null	null	null	0.93182	-0.08533	-0.04318	-0.34991	21.4	10080.1.21	100
2026-2-24 15:28:21.35	WT2(CA:F4:44:5B:2A:5C)	-0.192	0.296	0.946	-0.244	-5.676	0.244	17.37	12.17	163.89	2.847	37.653	-28.647	null	null	null	null	null	null	-0.15430	0.08606	-0.15973	-0.97116	21.5	10080.1.21	100
2026-2-24 15:28:21.42	WT1(D0:8E:86:5B:BD:44)	-0.209	0.960	-0.046	0.916	1.770	-0.977	4.24	0.10	48.04	-8.400	-16.600	-29.180	null	null	null	null	null	null	-0.64377	-0.64008	-0.36163	-0.21207	19.7	10080.1.21	100
2026-2-24 15:28:21.60	WT4(FA:E0:7F:9A:F3:3E)	-0.190	-0.186	0.989	-0.244	0.000	-1.038	-11.51	10.85	-72.16	-36.200	27.100	-46.460	null	null	null	null	null	null	0.80597	-0.02518	0.13486	-0.57574	23.0	10080.1.21	100
2026-2-24 15:28:21.88	WT1(D0:8E:86:5B:BD:44)	-0.193	0.989	-0.069	2.991	-0.732	3.296	4.48	0.16	48.10	-8.400	-16.600	-29.180	null	null	null	null	null	null	-0.64581	-0.64108	-0.35733	-0.21002	19.7	10080.1.21	100
2026-2-24 15:28:21.89	WT3(F3:2A:15:68:55:37)	0.143	-0.121	0.988	-1.099	-0.244	0.122	-7.53	-8.28	-40.67	-39.500	18.940	14.100	null	null	null	null	null	null	0.93182	-0.08533	-0.04318	-0.34991	21.4	10080.1.21	100
2026-2-24 15:28:21.91	WT2(CA:F4:44:5B:2A:5C)	-0.160	0.273	0.953	-0.122	-7.324	-2.197	17.30	11.99	163.73	2.847	37.653	-28.647	null	null	null	null	null	null	-0.15430	0.08606	-0.15973	-0.97116	21.5	10080.1.21	100
2026-2-24 15:28:21.152	WT4(FA:E0:7F:9A:F3:3E)	-0.202	-0.200	0.991	1.221	0.916	-1.038	-11.49	10.87	-72.34	-36.200	27.100	-46.460	null	null	null	null	null	null	0.80597	-0.02518	0.13486	-0.57574	23.0	10080.1.21	100
2026-2-24 15:28:21.192	WT3(F3:2A:15:68:55:37)	0.160	-0.125	0.984	1.282	-7.019	-2.808	-7.49	-8.73	-40.84	-39.500	18.940	14.100	null	null	null	null	null	null	0.93182	-0.08533	-0.04318	-0.34991	21.4	10080.1.21	100
2026-2-24 15:28:21.192	WT1(D0:8E:86:5B:BD:44)	-0.204	0.974	-0.078	0.000	0.305	1.160	4.47	0.19	48.02	-8.400	-16.600	-29.180	null	null	null	null	null	null	-0.64581	-0.64108	-0.35733	-0.21002	19.7	10080.1.21	100
2026-2-24 15:28:21.248	WT2(CA:F4:44:5B:2A:5C)	-0.168	0.275	0.960	1.526	-7.507	-2.686	17.28	11.40	163.22	2.847	37.653	-28.647	null	null	null	null	null	null	-0.15430	0.08606	-0.15973	-0.97116	21.5	10080.1.21	100
2026-2-24 15:28:21.293	WT4(FA:E0:7F:9A:F3:3E)	-0.195	-0.171	0.989	1.038	-2.197	0.610	-11.56	11.07	-72.39	-35.400	27.400	-48.847	null	null	null	null	null	null	0.80597	-0.02518	0.13486	-0.57574	23.0	10080.1.21	100
2026-2-24 15:28:21.294	WT1(D0:8E:86:5B:BD:44)	-0.194	0.981	-0.065	0.000	0.305	-0.549	4.51	-0.03	47.84	-7.700	-14.700	-31.947	null	null	null	null	null	null	-0.64581	-0.64108	-0.35733	-0.21002	19.7	10080.1.21	100
2026-2-24 15:28:21.295	WT3(F3:2A:15:68:55:37)	0.156	-0.103	0.982	0.610	-1.404	-0.427	-7.32	-9.33	-40.98	-39.500	18.940	14.100	null	null	null	null	null	null	0.92978	-0.08844	-0.05441	-0.35303	21.4	10080.1.21	100
2026-2-24 15:28:21.302	WT2(CA:F4:44:5B:2A:5C)	-0.158	0.305	0.938	-3.845	2.502	0.122	17.31	11.27	162.91	8.447	40.153	-29.393	null	null	null	null	null	null	-0.15430	0.08606	-0.15973	-0.97116	21.5	10080.1.21	100
2026-2-24 15:28:21.358	WT3(F3:2A:15:68:55:37)	0.178	-0.122	0.977	-0.183	-1.404	-0.549	-7.38	-9.53	-40.97	-39.500	18.940	14.100	null	null	null	null	null	null	0.92978	-0.08844	-0.05441	-0.35303	21.4	10080.1.21	100
2026-2-24 15:28:21.362	WT4(FA:E0:7F:9A:F3:3E)	-0.200	-0.202	0.974	-1.343	9.155	1.465	-11.72	11.06	-72.36	-35.400	27.400	-48.847	null	null	null	null	null	null	0.80597	-0.02518	0.13486	-0.57574	23.0	10080.1.21	100
2026-2-24 15:28:21.400	WT1(D0:8E:86:5B:BD:44)	-0.194	0.976	-0.068	0.244	0.061	1.770	4.53	0.00	47.81	-7.700	-14.700	-31.947	null	null	null	null	null	null	-0.64581	-0.64108	-0.35733	-0.21002	19.7	10080.1.21	100
2026-2-24 15:28:21.421	WT2(CA:F4:44:5B:2A:5C)	-0.178	0.275	0.963	-0.244	-1.892	-1.404	17.22	11.05	162.71	8.447	40.153	-29.393	null	null	null	null	null	null	-0.16501	0.07495	-0.15781	-0.97064	21.5	10080.1.21	100
2026-2-24 15:28:21.495	WT1(D0:8E:86:5B:BD:44)	-0.216	0.976	-0.071	0.183	2.686	-1.465	4.57	-0.06	47.86	-7.700	-14.700	-31.947	null	null	null	null	null	null	-0.64478	-0.64294	-0.35568	-0.21042	19.7	10080.1.21	100
2026-2-24 15:28:21.496	WT4(FA:E0:7F:9A:F3:3E)	-0.192	-0.216	0.972	3.052	2.625	0.061	-11.67	11.28	-72.40	-35.400	27.400	-48.847	null	null	null	null	null	null	0.80466	-0.02264	0.13846	-0.57684	23.0	10080.1.21	100
2026-2-24 15:28:21.531	WT3(F3:2A:15:68:55:37)	0.193	-0.115	0.984	4.211	-2.563	-3.296	-7.06	-9.75	-41.11	-40.100	18.967	15.000	null	null	null	null	null	null	0.92978	-0.08844	-0.05441	-0.35303	21.4	10080.1.21	100
2026-2-24 15:28:21.541	WT2(CA:F4:44:5B:2A:5C)	-0.173	0.276	0.953	0.366	-6.897	-4.028	17.08	10.83	162.04	8.447	40.153	-29.393	null	null	null	null	null	null	-0.16501	0.07495	-0.15781	-0.97064	21.5	10080.1.21	100
2026-2-24 15:28:21.562	WT3(F3:2A:15:68:55:37)	0.178	-0.094	0.980	0.732	0.977	0.061	-6.71	-10.11	-41.33	-40.100	18.967	15.000	null	null	null	null	null	null	0.92859	-0.08496	-0.06143	-0.35587	21.4	10080.1.21	100
2026-2-24 15:28:21.601	WT4(FA:E0:7F:9A:F3:3E)	-0.200	-0.156	1.001	0.671	-0.671	1.343	-11.32	11.33	-72.38	-35.400	27.400	-48.847	null	null	null	null	null	null	0.80466	-0.02264	0.13846	-0.57684	23.0	10080.1.21	100
2026-2-24 15:28:21.610	WT1(D0:8E:86:5B:BD:44)	-0.208	0.968	-0.073	0.244	0.000	-0.671	4.63	-0.05	47.92	-7.700	-14.700	-31.947	null	null	null	null	null	null	-0.64478	-0.64294	-0.35568	-0.21042	19.7	10080.1.21	100
2026-2-24 15:28:21.635	WT2(CA:F4:44:5B:2A:5C)	-0.160	0.269	0.958	-1.282	-0.610	-0.122	16.98	10.68	161.72	9.847	40.153	-29.193	null	null	null	null	null	null	-0.16501	0.07495	-0.15781	-0.97064	21.5	10080.1.21	100
2026-2-24 15:28:21.689	WT1(D0:8E:86:5B:BD:44)	-0.201	0.973	-0.071	0.488	0.854	1.526	4.66	-0.09	47.86	-7.000	-16.600	-31.160	null	null	null	null	null	null	-0.64478	-0.64294	-0.35568	-0.21042	19.7	10080.1.21	100
